Paint_ID,Pro_Acryl_Paint_Name,Filled_Hex,Filled_R,Filled_G,Filled_B,Filled_RGB,GW_Match_Name,GW_Product_Line,GW_Paint_ID,GW_Hex,GW_RGB,Comparison_Tool_Page,Match_Distance,Match_Confidence,_exact_key,_loose_key,Duplicate_Type,Registry_File,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,GW_Match_Paint_ID,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,Comparison_Page,Match_Method,AK_Match_Code,AK_Match_Name,Vallejo_Model_Match_Code,Vallejo_Model_Match_Name,Vallejo_Game_Match_Code,Vallejo_Game_Match_Name,Match_Source,Review_Flag,Review_Notes,Normalized_Paint_Type_Helper,Speedpaint_Match_Count,Speedpaint_Resolved_Count,Speedpaint_Hex_Fill_Source,Top_Match_Company,Top_Match_Brand,Top_Match_Product_Line,Top_Match_Paint_Type,Top_Match_Paint_ID,Top_Match_Name,Top_Match_Hex,Top_Match_RGB,Top_Match_Similarity,AP_Internal_Match_Paint_ID,AP_Internal_Match_Name,AP_Internal_Match_Product_Line,AP_Internal_Match_Hex,AP_Internal_Match_RGB,AP_Internal_Match_Similarity,Pro_Acryl_Match_Paint_ID,Pro_Acryl_Match_Name,Pro_Acryl_Match_Hex,Pro_Acryl_Match_RGB,Pro_Acryl_Match_Similarity,Speedpaint_Data_Source,AK_Match_Paint_ID,AK_Match_Hex,AK_Match_RGB,AK_Match_Similarity,Vallejo_Model_Match_Paint_ID,Vallejo_Model_Match_Hex,Vallejo_Model_Match_RGB,Vallejo_Model_Match_Similarity,Vallejo_Game_Match_Paint_ID,Vallejo_Game_Match_Hex,Vallejo_Game_Match_RGB,Vallejo_Game_Match_Similarity,GW_Match_Paint_ID.1,GW_Match_Name.1,GW_Match_Product_Line.1,GW_Match_Hex.1,GW_Match_RGB.1,GW_RGB_Distance,Match_Confidence.1,GW_Match_Method,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
AP_FANATIC_ALIEN_PURPLE,,,,,,,,,,,,,,High,army painter|fanatic|alien purple,army painter|alien purple,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,72.076,Alien Purple,ALIEN_PURPLE,#50317B,80.0,49.0,123.0,"80,49,123",Acrylic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,#50317B,,,,,,Warlord Paint Ranges conversion chart,Curated conversion chart,,,,,72.015,HEXED LICHEN,Warlord Paint Ranges conversion chart,,,Acrylic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_ANGEL_GREEN,,,,,,,Caliban Green,,,,,,14.04,High,army painter|fanatic|angel green,army painter|angel green,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,72.123,Angel Green,ANGEL_GREEN,#0C391D,12.0,57.0,29.0,"12,57,29",Acrylic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,#0C391D,GW_BASE_CALIBAN_GREEN,Base,Base,#00401F,"0, 64, 31",Warlord Paint Ranges conversion chart,Curated conversion chart,11146,DARK GREEN,70.97,DEEP GREEN,72.028,DARK GREEN,Warlord Paint Ranges conversion chart,,,Acrylic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_ARMY_GREEN,,,,,,,Loren Forest,,,,,,38.88,High,army painter|fanatic|army green,army painter|army green,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,WP3068,Army Green,ARMY_GREEN,#6E7645,110.0,118.0,69.0,"110,118,69",Acrylic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,#6E7645,GW_LAYER_LOREN_FOREST,Layer,Layer,#50702D,"80, 112, 45",Warlord Paint Ranges conversion chart,Curated conversion chart,,,70.922,UNIFORM GREEN,,,Warlord Paint Ranges conversion chart,,,Acrylic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_BARBARIAN_FLESH,,,,,,,Bestigor Flesh,,,,,,34.73,High,army painter|fanatic|barbarian flesh,army painter|barbarian flesh,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,WP3147,Barbarian Flesh,BARBARIAN_FLESH,#E89C6C,232.0,156.0,108.0,"232,156,108",Acrylic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,#E89C6C,GW_LAYER_BESTIGOR_FLESH,Layer,Layer,#D38A57,"211, 138, 87",Warlord Paint Ranges conversion chart,Curated conversion chart,11064,BEIGE RED,70.804,BEIGE RED,72.038,SCROFULOUS BROWN,Warlord Paint Ranges conversion chart,,,Acrylic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_BRIGHT_GOLD,,,,,,,Auric Armour Gold,,,,,,,High,army painter|fanatic|bright gold,army painter|bright gold,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,,Bright Gold,BRIGHT_GOLD,,,,,,Metallic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,,GW_LAYER_AURIC_ARMOUR_GOLD,Layer,Layer,#E8BC6D,"232, 188, 109",Warlord Paint Ranges conversion chart,Curated conversion chart,,,,,72.055,POLISHED GOLD,Warlord Paint Ranges conversion chart,,,Metallic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_CRYSTAL_BLUE,,,,,,,Teclis Blue,,,,,,49.26,High,army painter|fanatic|crystal blue,army painter|crystal blue,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,WP3028,Crystal Blue,CRYSTAL_BLUE,#0083C2,0.0,131.0,194.0,"0,131,194",Acrylic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,#0083C2,GW_LAYER_TECLIS_BLUE,Layer,Layer,#317EC1,"49, 126, 193",Warlord Paint Ranges conversion chart,Curated conversion chart,11175,SKY BLUE,70.961,SKY BLUE,72.023,ELECTRIC BLUE,Warlord Paint Ranges conversion chart,,,Acrylic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_DAEMONIC_YELLOW,,,,,,,Golden Yellow,,,,,,25.79,High,army painter|fanatic|daemonic yellow,army painter|daemonic yellow,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,WP3093,Daemonic Yellow,DAEMONIC_YELLOW,#FADA06,250.0,218.0,6.0,"250,218,6",Acrylic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,#FADA06,GW_LAYER_GOLDEN_YELLOW,Layer,Layer,#FFC20E,"255, 194, 14",Warlord Paint Ranges conversion chart,Curated conversion chart,11041,,70.948,GOLDEN YELLOW,,,Warlord Paint Ranges conversion chart,,,Acrylic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_DESERT_YELLOW,,,,,,,Desert Yellow,,,,,,0.0,High,army painter|fanatic|desert yellow,army painter|desert yellow,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,72.063,Desert Yellow,DESERT_YELLOW,#9C8855,156.0,136.0,85.0,"156,136,85",Acrylic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,#9C8855,GW_LAYER_DESERT_YELLOW,Layer,Layer,#9C8855,"156, 136, 85",Warlord Paint Ranges conversion chart,Curated conversion chart,11034,MEDIUM SAND HOBGROT HIDE 70.977,,,,,Warlord Paint Ranges conversion chart,,,Acrylic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_DRAGON_RED,,,,,,,Mephiston Red,,,,,,13.45,High,army painter|fanatic|dragon red,army painter|dragon red,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,WP3117,Dragon Red,DRAGON_RED,#9A1B1E,154.0,27.0,30.0,"154,27,30",Acrylic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,#9A1B1E,GW_BASE_MEPHISTON_RED,Base,Base,#9A1115,"154, 17, 21",Warlord Paint Ranges conversion chart,Curated conversion chart,11095,DIRTY RED,70.926,RED,72.141,HEAVY RED,Warlord Paint Ranges conversion chart,,,Acrylic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP_FANATIC_EVIL_CHROME,,,,,,,Sycorax Bronze,,,,,,,High,army painter|fanatic|evil chrome,army painter|evil chrome,Loose: Company + Paint_Name,Army_Painter_registry_26.0.11_aligned.csv,Army Painter,Warpaints Fanatic,Fanatic,FANATIC,,Evil Chrome,EVIL_CHROME,,,,,,Metallic,Active/Unknown,All_Warpaints_Fanatic_Poster.pdf,Official Fanatic poster; relationships deferred,,GW_LAYER_SYCORAX_BRONZE,Layer,Layer,#CBB394,"203, 179, 148",Warlord Paint Ranges conversion chart,Curated conversion chart,,,,,,,Warlord Paint Ranges conversion chart,,,Metallic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
