Paint_ID,Paint_Name,Product_Line,Paint_Type,Match_Source,Match_Company,Match_Paint_ID,Match_Paint_Name,Match_Product_Line,Match_Paint_Type,Match_Hex,Match_RGB,Confidence
AP_AIR_METEOR_ROCK,Meteor Rock,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_MILITIA_GREEN,Militia Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_MOLTEN_ORANGE,Molten Orange,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_NEON_YELLOW,Neon Yellow,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_NIGHT_SCALES,Night Scales,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_NOMAD_FLESH,Nomad Flesh,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_OCEAN_DEPTHS,Ocean Depths,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_ORANGE_MAGMA,Orange Magma,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_PESTILENT_FLESH,Pestilent Flesh,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_PHANTASMAL_BLUE,Phantasmal Blue,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_PLATE_MAIL_METAL,Plate Mail Metal,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_POTION_GREEN,Potion Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_PSYCHIC_SHOCK,Psychic Shock,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_RAVEN_BLACK,Raven Black,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_RAWHIDE_BROWN,Rawhide Brown,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_REBEL_RED,Rebel Red,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_REGIMENT_GREY,Regiment Grey,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_ROUGH_IRON,Rough Iron,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_RUINOUS_SPELL,Ruinous Spell,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_SAFETY_ORANGE,Safety Orange,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_SAPPHIRE_GEM,Sapphire Gem,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_SATIN_VARNISH,Satin Varnish,Air,Auxiliary,No Match Found,,,,,,,,Review
AP_AIR_SAVAGE_GREEN,Savage Green,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_SHARK_WHITE,Shark White,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_SHINING_SILVER,Shining Silver,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_LAYER_RUNEFANG_STEEL,Runefang Steel,Layer,Layer,#C3CACE,"195, 202, 206",High
AP_AIR_SHINING_SILVER,Shining Silver,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_AIR_RUNEFANG_STEEL,Runefang Steel,Air,Air,#A0A7AB,"160, 167, 171",High
AP_AIR_SHINING_SILVER,Shining Silver,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_LAYER_RUNEFANG_STEEL,Runefang Steel,Layer,Layer,#C3CACE,"195, 202, 206",High
AP_AIR_SHINING_SILVER,Shining Silver,Air,Air Metallic/Effect,Crossref_Audit,Games Workshop,GW_AIR_RUNEFANG_STEEL,Runefang Steel,Air,Air,#A0A7AB,"160, 167, 171",High
AP_AIR_STORM_WOLF,Storm Wolf,Air,Air,No Match Found,,,,,,,,Review
AP_AIR_TAINTED_GOLD,Tainted Gold,Air,Air Metallic/Effect,No Match Found,,,,,,,,Review
AP_AIR_TALISMAN_PURPLE,Talisman Purple,Air,Air,No Match Found,,,,,,,,Review
