Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,,,,,,,,,GW_Match_Paint_ID,GW_Match_Name,GW_Match_Product_Line,GW_Match_Paint_Type,GW_Match_Hex,GW_Match_RGB,GW_RGB_Distance,Match_Confidence,GW_Match_Method
VAL_GAME_COLOR_BRONZE_FLESH,Vallejo,Game Color,Game Color,GAME_COLOR,72.036,Bronze Flesh,BRONZE_FLESH,#F7944A,247,148,74,"247,148,74",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_FIRE_DRAGON_BRIGHT,Fire Dragon Bright,Layer,Layer,#F58652,"245,134,82",16.25,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_CAMOUFLAGE_GREEN,Vallejo,Game Color,Game Color,GAME_COLOR,72.031,Camouflage Green,CAMOUFLAGE_GREEN,#A5A542,165,165,66,"165,165,66",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_OGRYN_CAMO,Ogryn Camo,Layer,Layer,#9DA94B,"157,169,75",12.69,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_CAYMAN_GREEN,Vallejo,Game Color,Game Color,GAME_COLOR,72.067,Cayman Green,CAYMAN_GREEN,#455440,69,84,64,"69,84,64",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_CATACHAN_GREEN,Catachan Green,Layer,Layer,#455440,"69,84,64",0,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_CHAIN_MAIL,Vallejo,Game Color,Game Color,GAME_COLOR,72.053,Chain Mail,CHAIN_MAIL,#7B737B,123,115,123,"123,115,123",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_TECHNICAL_ASTROGRANITE,Astrogranite,Technical,Technical,#787878,"120,120,120",6.56,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_CHAINMAIL_SILVER,Vallejo,Game Color,Game Color,GAME_COLOR,72.053,Chainmail Silver,CHAINMAIL_SILVER,#7B737B,123,115,123,"123,115,123",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database; Hex/RGB filled during audit from Registry same paint-code reuse (Existing registry completed row); matched Game Color Chain Mail.,,,,,,,,,,GW_TECHNICAL_ASTROGRANITE,Astrogranite,Technical,Technical,#787878,"120,120,120",6.56,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_CHAOS_BLACK_BLACK,Vallejo,Game Color,Game Color,GAME_COLOR,72.051,Chaos Black / Black,CHAOS_BLACK_BLACK,#4D4A4A,77,74,74,"77,74,74",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database; Hex/RGB filled during audit from Mech9 paint-code equivalence cross-reference (Existing registry completed row); matched Game Color Heavy Charcoal.,,,,,,,,,,GW_LAYER_ESHIN_GREY,Eshin Grey,Layer,Layer,#4A4F52,"74,79,82",9.9,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_CHARCOAL,Vallejo,Game Color,Game Color,GAME_COLOR,72.155,Charcoal,CHARCOAL,#4D4A4A,77,74,74,"77,74,74",Acrylic paint,Active/Unknown,CC266-Game_Color.pdf,Imported from compiled central database; Hex/RGB filled during audit from Registry same paint-code reuse (Existing registry completed row); matched Game Color Heavy Charcoal.,,,,,,,,,,GW_LAYER_ESHIN_GREY,Eshin Grey,Layer,Layer,#4A4F52,"74,79,82",9.9,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_CHARRED_BROWN,Vallejo,Game Color,Game Color,GAME_COLOR,72.045,Charred Brown,CHARRED_BROWN,#39343B,57,52,59,"57,52,59",Acrylic Paint,Active/Unknown,952249680-Warlord-Paint-Ranges-Conversion-Chart.pdf,Imported from compiled central database; Hex/RGB filled during audit from Direct RedGrimm Vallejo Game name match (redgrimm army-painter.html); matched Vallejo Game Charred Brown.,,,,,,,,,,GW_BASE_IRON_WARRIORS,Iron Warriors,Base,Base,#393939,"57,57,57",5.39,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_COBRA_LEATHER_LEATHER_BROWN,Vallejo,Game Color,Game Color,GAME_COLOR,72.04,Cobra Leather /Leather Brown,COBRA_LEATHER_LEATHER_BROWN,#9C6B08,156,107,8,"156,107,8",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_TALLARN_SAND,Tallarn Sand,Layer,Layer,#A67610,"166,118,16",16.88,Medium-High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
VAL_GAME_COLOR_COLD_GREY,Vallejo,Game Color,Game Color,GAME_COLOR,72.05,Cold Grey,COLD_GREY,#999999,153,153,153,"153,153,153",Acrylic Paint,Active/Unknown,584217179-Vallejo-Paint-List-frenzycheck-com.xlsx,Imported from compiled central database,,,,,,,,,,GW_LAYER_ADMINISTRATUM_GREY,Administratum Grey,Layer,Layer,#949B95,"148,155,149",6.71,High,Computed nearest Games Workshop swatch by Euclidean RGB distance from registry R/G/B values.
