Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch
GW_SHADE_AGRAX_EARTHSHADE_DEVLAN_MUD,Games Workshop,Citadel,Shade,SHADE,,Agrax Earthshade (Devlan Mud),AGRAX_EARTHSHADE_DEVLAN_MUD,#5A573F,90,87,63,"90, 87, 63",Shade,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_SHADE_AGRAX_EARTHSHADE_GLOSS,Games Workshop,Citadel,Shade,SHADE,,Agrax Earthshade (Gloss),AGRAX_EARTHSHADE_GLOSS,#5A573F,90,87,63,"90, 87, 63",Shade,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_SHADE_CRYPTEK_ARMOURSHADE_GLOSS,Games Workshop,Citadel,Shade,SHADE,,Cryptek Armourshade Gloss,CRYPTEK_ARMOURSHADE_GLOSS,#5A573F,90,87,63,"90, 87, 63",Shade,Discontinued,Comparison Hex Pull,Preserved from uploaded registry; product line normalized during audit. | Comparison-derived shade/gloss: closest documented Agrax Earthshade / armour shade family,#5A573F
GW_SHADE_NULN_OIL_GLOSS,Games Workshop,Citadel,Shade,SHADE,,Nuln Oil (Gloss),NULN_OIL_GLOSS,#14100E,20,16,14,"20, 16, 14",Shade,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_SHADE_REIKLAND_FLESHSHADE_GLOSS,Games Workshop,Citadel,Shade,SHADE,,Reikland Fleshshade (Gloss),REIKLAND_FLESHSHADE_GLOSS,#CA6C4D,202,108,77,"202, 108, 77",Shade,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_CHANGELING_PINK,Games Workshop,Citadel,Dry,DRY,,Changeling Pink,CHANGELING_PINK,#F4AFCD,244,175,205,"244, 175, 205",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_CHRONUS_BLUE,Games Workshop,Citadel,Dry,DRY,,Chronus Blue,CHRONUS_BLUE,#72A8D1,114,168,209,"114, 168, 209",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_HELLION_GREEN,Games Workshop,Citadel,Dry,DRY,,Hellion Green,HELLION_GREEN,#84C3AA,132,195,170,"132, 195, 170",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_KINDLEFLAME,Games Workshop,Citadel,Dry,DRY,,Kindleflame,KINDLEFLAME,#F79E86,247,158,134,"247, 158, 134",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
GW_DRY_NIBLIT_GREEN,Games Workshop,Citadel,Dry,DRY,,Niblit Green,NIBLIT_GREEN,#7DC734,125,199,52,"125, 199, 52",Dry,Discontinued,Full List of Citadel Paints Wikipedia PDF; Hex/RGB: Full List of Citadel Paints Wikipedia PDF,Verified historical Citadel paint from uploaded historical list.,
