Paint_ID,Company,Brand,Product_Line,Product_Line_Code,Paint_Code,Paint_Name,Normalized_Name,Hex,R,G,B,RGB,Paint_Type,Status,Source,Notes,Swatch,AK_Source_Name,AK_Source_Line,AK_Source_URL,Nearest_GW_Product_Line,Nearest_GW_Paint_Name,Nearest_GW_Hex,GW_RGB_Distance
AK_3GEN_US_DARK_GREEN,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11157,US Dark Green,US DARK GREEN,#433918,67,57,24,67:57:24,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,US Dark Green,3rd Gen General,https://ak-interactive.com/product/us-dark-green-standard/,New/Current or Comparison,Warplock Bronze,#393121,15.65
AK_3GEN_VAMPIRIC_FLESH,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11057,Vampiric Flesh,VAMPIRIC FLESH,#CEBD82,206,189,130,206:189:130,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Vampiric Flesh,3rd Gen General,https://ak-interactive.com/product/vampiric-flesh-standard/,Layer,Flayed One Flesh,#CBB48B,13.08
AK_3GEN_VERMILLION,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11090,Vermillion,VERMILLION,#C64D33,198,77,51,198:77:51,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Vermillion,3rd Gen General,https://ak-interactive.com/product/vermillion-standard/,Base,Screaming Bell,#B3562B,22.49
AK_3GEN_VIOLET_RED,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11075,Violet Red,VIOLET RED,#583436,88,52,54,88:52:54,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Violet Red,3rd Gen General,https://ak-interactive.com/product/violet-red-standard/,Old/Discontinued,Purple Ink,#513D3C,12.88
AK_3GEN_VOLCANIC_YELLOW,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11042,Volcanic Yellow,VOLCANIC YELLOW,#F0921A,240,146,26,240:146:26,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Volcanic Yellow,3rd Gen General,https://ak-interactive.com/product/volcanic-yellow-standard/,Technical,Blackfire Earth,#F8902F,22.56
AK_3GEN_WARM_GREY,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11009,Warm Grey,WARM GREY,#B4A88A,180,168,138,180:168:138,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Warm Grey,3rd Gen General,https://ak-interactive.com/product/warm-grey-standard/,Layer,Krieg Khaki,#B7AD78,18.92
AK_3GEN_WHITE,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11001,White,WHITE,#FFFFFF,255,255,255,255:255:255,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,White,3rd Gen General,https://ak-interactive.com/product/white-intense/,Base,Corax White,#FFFFFF,0
AK_3GEN_WHITE_GREY,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11003,White Grey,WHITE GREY,#F5F5EE,245,245,238,245:245:238,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,White Grey,3rd Gen General,https://ak-interactive.com/product/white-grey-standard/,Technical,Valhallan Blizzard,#FDF9EE,8.94
AK_3GEN_WINE_RED,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11096,Wine Red,WINE RED,#681610,104,22,16,104:22:16,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Wine Red,3rd Gen General,https://ak-interactive.com/product/wine-red-standard/,Base,Mournfang Brown,#650A09,14.21
AK_3GEN_YELLOW,AK Interactive,AK 3rd Gen,3rd Gen,3GEN,AK-11044,Yellow,YELLOW,#FAB719,250,183,25,250:183:25,Acrylic/Metallic comparison color,Active/Unknown,AK Interactive source workbooks,Hex/RGB filled from 3rd Gen General source workbook; nearest GW match calculated from GW registry for comparison only.,,Yellow,3rd Gen General,https://ak-interactive.com/product/yellow-standard/,Base,Averland Sunset,#FCB825,12.21
